City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,talcher,20.95,85.2167,75.49,95,100,4.36,IN,1696374131
296,madang,-5.2246,145.7966,79.7,87,99,3.58,PG,1696374131
297,barranca,-10.75,-77.7667,65.43,87,95,9.19,PE,1696374131
298,uturoa,-16.7333,-151.4333,78.82,78,12,18.61,PF,1696374131
299,carutapera,-1.195,-46.02,79.59,78,59,10.58,BR,1696374132
300,westport,41.1415,-73.3579,74.01,78,3,1.99,US,1696374063
301,acapulco de juarez,16.8634,-99.8901,85.35,74,100,8.9,MX,1696373967
302,beyneu,45.3167,55.2,61.5,49,98,8.97,KZ,1696374132
303,vokhtoga,58.8147,41.0461,52.07,84,100,10.07,RU,1696374132
304,mizan teferi,6.9833,35.5833,62.67,92,100,2.73,ET,1696374132
305,brechin,56.7299,-2.6573,51.35,76,80,10.74,GB,1696374133
306,lompoc,34.6391,-120.4579,85.69,52,20,10.36,US,1696374084
307,minas de marcona,-15.2119,-75.1103,56.97,88,82,16.08,PE,1696374133
308,west helena,34.5507,-90.6418,85.68,26,38,8.77,US,1696374133
309,launceston,-41.45,147.1667,51.8,87,100,19.57,AU,1696373991
310,labytnangi,66.6572,66.4183,36.05,83,100,5.79,RU,1696374133
311,saldanha,-33.0117,17.9442,58.96,88,100,5.32,ZA,1696374134
312,vadso,70.0744,29.7487,35.76,80,75,6.91,NO,1696374134
313,djambala,-2.5447,14.7533,70.79,89,49,2.57,CG,1696374134
314,tsiombe,-25.3,45.4833,61.75,69,0,5.79,MG,1696374134
315,port-gentil,-0.7193,8.7815,78.76,89,75,8.05,GA,1696374135
316,goundi,9.3627,17.366,71.98,98,99,3.18,TD,1696374135
317,gizo,-8.103,156.8419,82.22,80,99,7.29,SB,1696374135
318,maxixe,-23.8597,35.3472,66.15,78,0,5.21,MZ,1696374135
319,erenhot,43.6475,111.9767,46.9,38,1,9.19,CN,1696374136
320,el nido,11.1858,119.3956,82.47,78,100,11.81,PH,1696374136
321,santa cruz,-17.8,-63.1667,91.45,49,20,20.71,BO,1696373894
322,bac lieu,9.285,105.7244,77.74,91,64,7.27,VN,1696374136
323,parsabad,39.6482,47.9174,67.51,62,54,4.14,IR,1696374137
324,kavieng,-2.5744,150.7967,83.16,74,70,4.74,PG,1696374137
325,leer,53.2316,7.461,55.94,92,5,14.07,DE,1696374137
326,lata,40.1629,-8.3327,64.92,85,97,1.28,PT,1696374137
327,weno,7.4515,151.8468,83.26,71,94,4.47,FM,1696374137
328,vorkuta,67.5,64.0,31.95,92,86,7.14,RU,1696374138
329,worland,44.0169,-107.9554,55.6,85,100,9.22,US,1696374138
